Instance name,On-Demand hourly rate,vCPU,Memory,Storage,Network performance
r5ad.24xlarge,$6.29 ,96,768 GiB,4 x 900 NVMe SSD,20 Gigabit
r5b.large,$0.15 ,2,16 GiB,EBS Only,Up to 10 Gigabit
r5b.xlarge,$0.30 ,4,32 GiB,EBS Only,Up to 10 Gigabit
r5b.2xlarge,$0.60 ,8,64 GiB,EBS Only,Up to 10 Gigabit
r5b.4xlarge,$1.19 ,16,128 GiB,EBS Only,Up to 10 Gigabit
r5b.8xlarge,$2.38 ,32,256 GiB,EBS Only,10 Gigabit
r5b.12xlarge,$3.58 ,48,384 GiB,EBS Only,10 Gigabit
r5b.16xlarge,$4.77 ,64,512 GiB,EBS Only,20 Gigabit
r5b.24xlarge,$7.15 ,96,768 GiB,EBS Only,25 Gigabit
r5b.metal,$7.15 ,96,768 GiB,EBS Only,25 Gigabit
r5d.large,$0.14 ,2,16 GiB,1 x 75 NVMe SSD,Up to 10 Gigabit
r5d.xlarge,$0.29 ,4,32 GiB,1 x 150 NVMe SSD,Up to 10 Gigabit
r5d.2xlarge,$0.58 ,8,64 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit
r5d.4xlarge,$1.15 ,16,128 GiB,2 x 300 NVMe SSD,Up to 10 Gigabit
r5d.8xlarge,$2.30 ,32,256 GiB,2 x 600 NVMe SSD,10 Gigabit
r5d.12xlarge,$3.46 ,48,384 GiB,2 x 900 NVMe SSD,10 Gigabit
r5d.16xlarge,$4.61 ,64,512 GiB,4 x 600 NVMe SSD,20 Gigabit
r5d.24xlarge,$6.91 ,96,768 GiB,4 x 900 NVMe SSD,25 Gigabit
r5d.metal,$6.91 ,96,768 GiB,4 x 900 NVMe SSD,25 Gigabit
r5dn.large,$0.17 ,2,16 GiB,1 x 75 NVMe SSD,Up to 25 Gigabit
r5dn.xlarge,$0.33 ,4,32 GiB,1 x 150 NVMe SSD,Up to 25 Gigabit
r5dn.2xlarge,$0.67 ,8,64 GiB,1 x 300 NVMe SSD,Up to 25 Gigabit
r5dn.4xlarge,$1.34 ,16,128 GiB,2 x 300 NVMe SSD,Up to 25 Gigabit
r5dn.8xlarge,$2.67 ,32,256 GiB,2 x 600 NVMe SSD,25 Gigabit
r5dn.12xlarge,$4.01 ,48,384 GiB,2 x 900 GB NVMe SSD,50 Gigabit
r5dn.16xlarge,$5.34 ,64,512 GiB,4 x 600 NVMe SSD,75 Gigabit
r5dn.24xlarge,$8.02 ,96,768 GiB,4 x 900 NVMe SSD,100 Gigabit
r5dn.metal,$8.02 ,96,768 GiB,4 x 900 NVMe SSD,100 Gigabit
r5n.large,$0.15 ,2,16 GiB,EBS Only,Up to 25 Gigabit
r5n.xlarge,$0.30 ,4,32 GiB,EBS Only,Up to 25 Gigabit
r5n.2xlarge,$0.60 ,8,64 GiB,EBS Only,Up to 25 Gigabit
r5n.4xlarge,$1.19 ,16,128 GiB,EBS Only,Up to 25 Gigabit
r5n.8xlarge,$2.38 ,32,256 GiB,EBS Only,25 Gigabit
r5n.12xlarge,$3.58 ,48,384 GiB,EBS Only,50 Gigabit
r5n.16xlarge,$4.77 ,64,512 GiB,EBS Only,75 Gigabit
r5n.24xlarge,$7.15 ,96,768 GiB,EBS Only,100 Gigabit
r5n.metal,$7.15 ,96,768 GiB,EBS Only,100 Gigabit
r4.large,$0.13 ,2,15.25 GiB,EBS Only,Up to 10 Gigabit
r4.xlarge,$0.27 ,4,30.5 GiB,EBS Only,Up to 10 Gigabit
r4.2xlarge,$0.53 ,8,61 GiB,EBS Only,Up to 10 Gigabit
r4.4xlarge,$1.06 ,16,122 GiB,EBS Only,Up to 10 Gigabit
r4.8xlarge,$2.13 ,32,244 GiB,EBS Only,10 Gigabit
r4.16xlarge,$4.26 ,64,488 GiB,EBS Only,20 Gigabit
z1d.large,$0.19 ,2,16 GiB,1 x 75 NVMe SSD,Up to 10 Gigabit
z1d.xlarge,$0.37 ,4,32 GiB,1 x 150 NVMe SSD,Up to 10 Gigabit
z1d.2xlarge,$0.74 ,8,64 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit
z1d.3xlarge,$1.12 ,12,96 GiB,1 x 450 NVMe SSD,Up to 10 Gigabit
z1d.6xlarge,$2.23 ,24,192 GiB,1 x 900 NVMe SSD,10 Gigabit
z1d.12xlarge,$4.46 ,48,384 GiB,2 x 900 NVMe SSD,25 Gigabit
z1d.metal,$4.46 ,48,384 GiB,2 x 900 NVMe SSD,25 Gigabit
i4g.large,$0.15 ,2,16 GiB,1 x 468 SSD,Up to 10 Gigabit
i4g.xlarge,$0.31 ,4,32 GiB,1 x 937 SSD,Up to 10 Gigabit
i4g.2xlarge,$0.62 ,8,64 GiB,1 x 1875 SSD,Up to 12 Gigabit
i4g.4xlarge,$1.24 ,16,128 GiB,1 x 3750 SSD,Up to 25 Gigabit
i4g.8xlarge,$2.47 ,32,256 GiB,2 x 3750 SSD,18750 Megabit
i4g.16xlarge,$4.94 ,64,512 GiB,4 x 3750 SSD,37500 Megabit
i4i.large,$0.17 ,2,16 GiB,1 x 468 NVMe SSD,Up to 10 Gigabit
i4i.xlarge,$0.34 ,4,32 GiB,1 x 937 NVMe SSD,Up to 10 Gigabit
i4i.2xlarge,$0.69 ,8,64 GiB,1 x 1875 NVMe SSD,Up to 12 Gigabit
i4i.4xlarge,$1.37 ,16,128 GiB,1 x 3750 NVMe SSD,Up to 25 Gigabit
i4i.8xlarge,$2.75 ,32,256 GiB,2 x 3750 NVMe SSD,18750 Megabit
i4i.16xlarge,$5.49 ,64,512 GiB,4 x 3750 NVMe SSD,37500 Megabit
i4i.32xlarge,$10.98 ,128,1024 GiB,8 x 3750 SSD,75000 Megabit
i4i.metal,$10.98 ,128,1024 GiB,8 x 3750 NVMe SSD,75000 Megabit
i3.large,$0.16 ,2,15.25 GiB,1 x 475 NVMe SSD,Up to 10 Gigabit
i3.xlarge,$0.31 ,4,30.5 GiB,1 x 950 NVMe SSD,Up to 10 Gigabit
i3.2xlarge,$0.62 ,8,61 GiB,1 x 1900 NVMe SSD,Up to 10 Gigabit
i3.4xlarge,$1.25 ,16,122 GiB,2 x 1900 NVMe SSD,Up to 10 Gigabit
i3.8xlarge,$2.50 ,32,244 GiB,4 x 1900 NVMe SSD,10 Gigabit
i3.16xlarge,$4.99 ,64,488 GiB,8 x 1900 NVMe SSD,20 Gigabit
i3.metal,$4.99 ,72,512 GiB,8 x 1900 NVMe SSD,25 Gigabit
i3en.large,$0.23 ,2,16 GiB,1 x 1250 NVMe SSD,Up to 25 Gigabit
i3en.xlarge,$0.45 ,4,32 GiB,1 x 2500 NVMe SSD,Up to 25 Gigabit
i3en.2xlarge,$0.90 ,8,64 GiB,2 x 2500 NVMe SSD,Up to 25 Gigabit
i3en.3xlarge,$1.36 ,12,96 GiB,1 x 7500 NVMe SSD,Up to 25 Gigabit
i3en.6xlarge,$2.71 ,24,192 GiB,2 x 7500 NVMe SSD,25 Gigabit
i3en.12xlarge,$5.42 ,48,384 GiB,4 x 7500 NVMe SSD,50 Gigabit
i3en.24xlarge,$10.85 ,96,768 GiB,8 x 7500 NVMe SSD,100 Gigabit
i3en.metal,$10.85 ,96,768 GiB,8 x 7500 NVMe SSD,100 Gigabit
h1.2xlarge,$0.47 ,8,32 GiB,1 x 2000 HDD,Up to 10 Gigabit
h1.4xlarge,$0.94 ,16,64 GiB,2 x 2000 HDD,Up to 10 Gigabit
h1.8xlarge,$1.87 ,32,128 GiB,4 x 2000 HDD,10 Gigabit
h1.16xlarge,$3.74 ,64,256 GiB,8 x 2000 HDD,25 Gigabit
d3.xlarge,$0.50 ,4,32 GiB,3 x 2000 HDD,Up to 15 Gigabit
d3.2xlarge,$1.00 ,8,64 GiB,6 x 2000 HDD,Up to 15 Gigabit
d3.4xlarge,$2.00 ,16,128 GiB,12 x 2000 HDD,Up to 15 Gigabit
d3.8xlarge,$4.00 ,32,256 GiB,24 x 2000 HDD,25 Gigabit
d2.xlarge,$0.69 ,4,30.5 GiB,3 x 2000 HDD,Moderate
d2.2xlarge,$1.38 ,8,61 GiB,6 x 2000 HDD,High
d2.4xlarge,$2.76 ,16,122 GiB,12 x 2000 HDD,High
d2.8xlarge,$5.52 ,36,244 GiB,24 x 2000 HDD,10 Gigabit
u-12tb1.112xlarge,$109.20 ,448,12288 GiB,EBS Only,100 Gigabit
u-6tb1.56xlarge,$46.40 ,224,6144 GiB,EBS Only,100 Gigabit
u-6tb1.112xlarge,$54.60 ,448,6144 GiB,EBS Only,100 Gigabit
hpc6a.48xlarge,$2.88 ,96,384 GiB,EBS Only,100 Gigabit
hpc6id.32xlarge,$5.70 ,64,1024 GiB,4 x 3800 NVMe SSD,200 Gigabit
is4gen.medium,$0.14 ,1,6 GiB,1 x 937 SSD,Up to 25 Gigabit
is4gen.large,$0.29 ,2,12 GiB,1 x 1875 SSD,Up to 25 Gigabit
is4gen.xlarge,$0.58 ,4,24 GiB,1 x 3750 SSD,Up to 25 Gigabit
is4gen.2xlarge,$1.15 ,8,48 GiB,1 x 7500 SSD,Up to 25 Gigabit
is4gen.4xlarge,$2.31 ,16,96 GiB,2 x 7500 SSD,25 Gigabit
is4gen.8xlarge,$4.61 ,32,192 GiB,4 x 7500 SSD,50 Gigabit
im4gn.large,$0.18 ,2,8 GiB,1 x 937 SSD,Up to 25 Gigabit
im4gn.xlarge,$0.36 ,4,16 GiB,1 x 1875 SSD,Up to 25 Gigabit
im4gn.2xlarge,$0.73 ,8,32 GiB,1 x 3750 SSD,Up to 25 Gigabit
im4gn.4xlarge,$1.46 ,16,64 GiB,1 x 7500 SSD,25 Gigabit
im4gn.8xlarge,$2.91 ,32,128 GiB,2 x 7500 SSD,50 Gigabit
im4gn.16xlarge,$5.82 ,64,256 GiB,4 x 7500 SSD,100 Gigabit
u-3tb1.56xlarge,$27.30 ,224,3072 GiB,EBS Only,50 Gigabit
inf2.xlarge,$0.76 ,4,16 GiB,EBS Only,Up to 15 Gigabit
inf2.8xlarge,$1.97 ,32,128 GiB,EBS Only,Up to 25 Gigabit
inf2.24xlarge,$6.49 ,96,384 GiB,EBS Only,50 Gigabit
inf2.48xlarge,$12.98 ,192,768 GiB,EBS Only,100 Gigabit
inf1.xlarge,$0.23 ,4,8 GiB,EBS Only,Up to 25 Gigabit
inf1.2xlarge,$0.36 ,8,16 GiB,EBS Only,Up to 25 Gigabit
inf1.6xlarge,$1.18 ,24,48 GiB,EBS Only,25 Gigabit
inf1.24xlarge,$4.72 ,96,192 GiB,EBS Only,100 Gigabit
