Instance name,On-Demand hourly rate,vCPU,Memory,Storage,Network performance
c6i.24xlarge,$4.08 ,96,192 GiB,EBS Only,37500 Megabit
c6i.32xlarge,$5.44 ,128,256 GiB,EBS Only,50000 Megabit
c6i.metal,$5.44 ,128,256 GiB,EBS Only,50000 Megabit
c6id.large,$0.10 ,2,4 GiB,1 x 118 SSD,Up to 12500 Megabit
c6id.xlarge,$0.20 ,4,8 GiB,1 x 237 SSD,Up to 12500 Megabit
c6id.2xlarge,$0.40 ,8,16 GiB,1 x 474 SSD,Up to 12500 Megabit
c6id.4xlarge,$0.81 ,16,32 GiB,1 x 950 SSD,Up to 12500 Megabit
c6id.8xlarge,$1.61 ,32,64 GiB,1 x 1900 SSD,12500 Megabit
c6id.12xlarge,$2.42 ,48,96 GiB,2 x 1425 SSD,18750 Megabit
c6id.16xlarge,$3.23 ,64,128 GiB,2 x 1900 SSD,25000 Megabit
c6id.24xlarge,$4.84 ,96,192 GiB,4 x 1425 SSD,37500 Megabit
c6id.32xlarge,$6.45 ,128,256 GiB,4 x 1900 SSD,50000 Megabit
c6id.metal,$6.45 ,128,256 GiB,4 x 1900 SSD,50000 Megabit
c6in.large,$0.11 ,2,4 GiB,EBS Only,Up to 25000 Megabit
c6in.xlarge,$0.23 ,4,8 GiB,EBS Only,Up to 30000 Megabit
c6in.2xlarge,$0.45 ,8,16 GiB,EBS Only,Up to 40000 Megabit
c6in.4xlarge,$0.91 ,16,32 GiB,EBS Only,Up to 50000 Megabit
c6in.8xlarge,$1.81 ,32,64 GiB,EBS Only,50000 Megabit
c6in.12xlarge,$2.72 ,48,96 GiB,EBS Only,75000 Megabit
c6in.16xlarge,$3.63 ,64,128 GiB,EBS Only,100000 Megabit
c6in.24xlarge,$5.44 ,96,192 GiB,EBS Only,150000 Megabit
c6in.32xlarge,$7.26 ,128,256 GiB,EBS Only,200000 Megabit
c6in.metal,$7.26 ,128,256 GiB,EBS Only,200000 Megabit
c5.large,$0.09 ,2,4 GiB,EBS Only,Up to 10 Gigabit
c5.xlarge,$0.17 ,4,8 GiB,EBS Only,Up to 10 Gigabit
c5.2xlarge,$0.34 ,8,16 GiB,EBS Only,Up to 10 Gigabit
c5.4xlarge,$0.68 ,16,32 GiB,EBS Only,Up to 10 Gigabit
c5.9xlarge,$1.53 ,36,72 GiB,EBS Only,10 Gigabit
c5.12xlarge,$2.04 ,48,96 GiB,EBS Only,12 Gigabit
c5.18xlarge,$3.06 ,72,144 GiB,EBS Only,25 Gigabit
c5.24xlarge,$4.08 ,96,192 GiB,EBS Only,25 Gigabit
c5.metal,$4.08 ,96,192 GiB,EBS Only,25 Gigabit
c5a.large,$0.08 ,2,4 GiB,EBS Only,Up to 10 Gigabit
c5a.xlarge,$0.15 ,4,8 GiB,EBS Only,Up to 10 Gigabit
c5a.2xlarge,$0.31 ,8,16 GiB,EBS Only,Up to 10 Gigabit
c5a.4xlarge,$0.62 ,16,32 GiB,EBS Only,Up to 10 Gigabit
c5a.8xlarge,$1.23 ,32,64 GiB,EBS Only,10 Gigabit
c5a.12xlarge,$1.85 ,48,96 GiB,EBS Only,12 Gigabit
c5a.16xlarge,$2.46 ,64,128 GiB,EBS Only,20 Gigabit
c5a.24xlarge,$3.70 ,96,192 GiB,EBS Only,20 Gigabit
c5ad.large,$0.09 ,2,4 GiB,1 x 75 NVMe SSD,Up to 10 Gigabit
c5ad.xlarge,$0.17 ,4,8 GiB,1 x 150 NVMe SSD,Up to 10 Gigabit
c5ad.2xlarge,$0.34 ,8,16 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit
c5ad.4xlarge,$0.69 ,16,32 GiB,2 x 300 NVMe SSD,Up to 10 Gigabit
c5ad.8xlarge,$1.38 ,32,64 GiB,2 x 600 NVMe SSD,10 Gigabit
c5ad.12xlarge,$2.06 ,48,96 GiB,2 x 900 NVMe SSD,12 Gigabit
c5ad.16xlarge,$2.75 ,64,128 GiB,2 x 1200 NVMe SSD,20 Gigabit
c5ad.24xlarge,$4.13 ,96,192 GiB,2 x 1900 NVMe SSD,20 Gigabit
c5d.large,$0.10 ,2,4 GiB,1 x 50 NVMe SSD,Up to 10 Gigabit
c5d.xlarge,$0.19 ,4,8 GiB,1 x 100 NVMe SSD,Up to 10 Gigabit
c5d.2xlarge,$0.38 ,8,16 GiB,1 x 200 NVMe SSD,Up to 10 Gigabit
c5d.4xlarge,$0.77 ,16,32 GiB,1 x 400 NVMe SSD,Up to 10 Gigabit
c5d.9xlarge,$1.73 ,36,72 GiB,1 x 900 NVMe SSD,10 Gigabit
c5d.12xlarge,$2.30 ,48,96 GiB,2 x 900 NVMe SSD,12 Gigabit
c5d.18xlarge,$3.46 ,72,144 GiB,2 x 900 NVMe SSD,25 Gigabit
c5d.24xlarge,$4.61 ,96,192 GiB,4 x 900 NVMe SSD,25 Gigabit
c5d.metal,$4.61 ,96,192 GiB,4 x 900 NVMe SSD,25 Gigabit
c5n.large,$0.11 ,2,5.25 GiB,EBS Only,Up to 25 Gigabit
c5n.xlarge,$0.22 ,4,10.5 GiB,EBS Only,Up to 25 Gigabit
c5n.2xlarge,$0.43 ,8,21 GiB,EBS Only,Up to 25 Gigabit
c5n.4xlarge,$0.86 ,16,42 GiB,EBS Only,Up to 25 Gigabit
c5n.9xlarge,$1.94 ,36,96 GiB,EBS Only,50 Gigabit
c5n.18xlarge,$3.89 ,72,192 GiB,EBS Only,100 Gigabit
c5n.metal,$3.89 ,72,192 GiB,EBS Only,100 Gigabit
c4.large,$0.10 ,2,3.75 GiB,EBS Only,Moderate
c4.xlarge,$0.20 ,4,7.5 GiB,EBS Only,High
c4.2xlarge,$0.40 ,8,15 GiB,EBS Only,High
c4.4xlarge,$0.80 ,16,30 GiB,EBS Only,High
c4.8xlarge,$1.59 ,36,60 GiB,EBS Only,10 Gigabit
p4d.24xlarge,$32.77 ,96,1152 GiB,8 x 1000 SSD,400 Gigabit
p3.2xlarge,$3.06 ,8,61 GiB,EBS Only,Up to 10 Gigabit
p3.8xlarge,$12.24 ,32,244 GiB,EBS Only,10 Gigabit
p3.16xlarge,$24.48 ,64,488 GiB,EBS Only,25 Gigabit
p2.xlarge,$0.90 ,4,61 GiB,EBS Only,High
p2.8xlarge,$7.20 ,32,488 GiB,EBS Only,10 Gigabit
p2.16xlarge,$14.40 ,64,732 GiB,EBS Only,20 Gigabit
g5.xlarge,$1.01 ,4,16 GiB,1 x 250 GB NVMe SSD,Up to 10 Gigabit
g5.2xlarge,$1.21 ,8,32 GiB,1 x 450 GB NVMe SSD,Up to 10 Gigabit
g5.4xlarge,$1.62 ,16,64 GiB,1 x 600 GB NVMe SSD,Up to 25 Gigabit
g5.8xlarge,$2.45 ,32,128 GiB,1 x 900 GB NVMe SSD,25 Gigabit
g5.12xlarge,$5.67 ,48,192 GiB,1 x 3800 GB NVMe SSD,40 Gigabit
g5.16xlarge,$4.10 ,64,256 GiB,1 x 1900 GB NVMe SSD,25 Gigabit
g5.24xlarge,$8.14 ,96,384 GiB,1 x 3800 GB NVMe SSD,50 Gigabit
g5.48xlarge,$16.29 ,192,768 GiB,2 x 3800 GB NVMe SSD,100 Gigabit
g4ad.xlarge,$0.38 ,4,16 GiB,150 GB NVMe SSD,Up to 10 Gigabit
g4ad.2xlarge,$0.54 ,8,32 GiB,300 GB NVMe SSD,Up to 10 Gigabit
g4ad.4xlarge,$0.87 ,16,64 GiB,600 GB NVMe SSD,Up to 10 Gigabit
g4ad.8xlarge,$1.73 ,32,128 GiB,1200 GB NVMe SSD,15 Gigabit
g4ad.16xlarge,$3.47 ,64,256 GiB,2400 GB NVMe SSD,25 Gigabit
g4dn.xlarge,$0.53 ,4,16 GiB,125 GB NVMe SSD,Up to 25 Gigabit
g4dn.2xlarge,$0.75 ,8,32 GiB,225 GB NVMe SSD,Up to 25 Gigabit
g4dn.4xlarge,$1.20 ,16,64 GiB,225 GB NVMe SSD,Up to 25 Gigabit
g4dn.8xlarge,$2.18 ,32,128 GiB,900 GB NVMe SSD,50 Gigabit
g4dn.12xlarge,$3.91 ,48,192 GiB,900 GB NVMe SSD,50 Gigabit
g4dn.16xlarge,$4.35 ,64,256 GiB,900 GB NVMe SSD,50 Gigabit
g4dn.metal,$7.82 ,96,384 GiB,2 x 900 GB NVMe SSD,100 Gigabit
g3.4xlarge,$1.14 ,16,122 GiB,EBS Only,Up to 10 Gigabit
g3.8xlarge,$2.28 ,32,244 GiB,EBS Only,10 Gigabit
g3.16xlarge,$4.56 ,64,488 GiB,EBS Only,20 Gigabit
g3s.xlarge,$0.75 ,4,30.5 GiB,EBS Only,10 Gigabit
x2gd.medium,$0.08 ,1,16 GiB,1 x 59 SSD,Up to 10 Gigabit
x2gd.large,$0.17 ,2,32 GiB,1 x 118 SSD,Up to 10 Gigabit
x2gd.xlarge,$0.33 ,4,64 GiB,1 x 237 SSD,Up to 10 Gigabit
x2gd.2xlarge,$0.67 ,8,128 GiB,1 x 474 SSD,Up to 10 Gigabit
x2gd.4xlarge,$1.34 ,16,256 GiB,1 x 950 SSD,Up to 10 Gigabit
x2gd.8xlarge,$2.67 ,32,512 GiB,1 x 1900 SSD,12 Gigabit
x2gd.12xlarge,$4.01 ,48,768 GiB,2 x 1425 SSD,20 Gigabit
x2gd.16xlarge,$5.34 ,64,1024 GiB,2 x 1900 SSD,25 Gigabit
x2gd.metal,$5.34 ,64,1024 GiB,2 x 1900 SSD,25 Gigabit
x2idn.16xlarge,$6.67 ,64,1024 GiB,1 x 1900 NVMe SSD,50 Gigabit
x2idn.24xlarge,$10.00 ,96,1536 GiB,2 x 1425 NVMe SSD,75 Gigabit
x2idn.32xlarge,$13.34 ,128,2048 GiB,2 x 1900 NVMe SSD,100 Gigabit
